"Airline","Date_of_Journey","Source","Destination","Route","Dep_Time","Arrival_Time","Duration","Total_Stops","Additional_Info","Price"
"IndiGo","03/24/2019","Banglore","New Delhi","BLR → DEL","10:20 PM","01:10 AM","2h 50m","non-stop","No info",48
"Air India","05/01/2019","Kolkata","Banglore","CCU → IXR → BBI → BLR","05:50 AM","01:15 PM","7h 25m","2 stops","No info",93
"Jet Airways","06/09/2019","Delhi","Cochin","DEL → LKO → BOM → COK","09:25 AM","04:25 AM","19h","2 stops","No info",169
"IndiGo","05/12/2019","Kolkata","Banglore","CCU → NAG → BLR","06:05 PM","11:30 PM","5h 25m","1 stop","No info",76
"IndiGo","03/01/2019","Banglore","New Delhi","BLR → NAG → DEL","04:50 PM","09:35 PM","4h 45m","1 stop","No info",162
"SpiceJet","06/24/2019","Kolkata","Banglore","CCU → BLR","09:00 AM","11:25 AM","2h 25m","non-stop","No info",47
"Jet Airways","03/12/2019","Banglore","New Delhi","BLR → BOM → DEL","06:55 PM","10:25 AM","15h 30m","1 stop","In-flight meal not included",135
"Jet Airways","03/01/2019","Banglore","New Delhi","BLR → BOM → DEL","08:00 AM","05:05 AM","21h 5m","1 stop","No info",272
"Jet Airways","03/12/2019","Banglore","New Delhi","BLR → BOM → DEL","08:55 AM","10:25 AM","25h 30m","1 stop","In-flight meal not included",135
"Multiple carriers","05/27/2019","Delhi","Cochin","DEL → BOM → COK","11:25 AM","07:15 PM","7h 50m","1 stop","No info",105
"Air India","06/01/2019","Delhi","Cochin","DEL → BLR → COK","09:45 AM","11:00 PM","13h 15m","1 stop","No info",109
"IndiGo","04/18/2019","Kolkata","Banglore","CCU → BLR","08:20 PM","10:55 PM","2h 35m","non-stop","No info",51
"Air India","06/24/2019","Chennai","Kolkata","MAA → CCU","11:40 AM","01:55 PM","2h 15m","non-stop","No info",57
"Jet Airways","05/09/2019","Kolkata","Banglore","CCU → BOM → BLR","09:10 PM","09:20 AM","12h 10m","1 stop","In-flight meal not included",118
"IndiGo","04/24/2019","Kolkata","Banglore","CCU → BLR","05:15 PM","07:50 PM","2h 35m","non-stop","No info",59
"Air India","03/03/2019","Delhi","Cochin","DEL → AMD → BOM → COK","04:40 PM","07:15 PM","26h 35m","2 stops","No info",171
"SpiceJet","04/15/2019","Delhi","Cochin","DEL → PNQ → COK","08:45 AM","01:15 PM","4h 30m","1 stop","No info",71
"Jet Airways","06/12/2019","Delhi","Cochin","DEL → BOM → COK","02:00 PM","12:35 PM","22h 35m","1 stop","In-flight meal not included",125
